1323 東証ETF (NEXT FUNDS)南アフリカ株式指数上場投信（ETF）,,,,,
"2017-05-26","346","350","346","350","700","350"
"2017-05-29","351","353","344","350","1400","350"
"2017-05-30","350","354","350","354","11200","354"
"2017-05-31","355","365","353","358","23700","358"
"2017-06-01","374","375","365","365","9300","365"
"2017-06-02","364","369","363","363","2600","363"
"2017-06-05","362","368","362","367","1400","367"
"2017-06-06","364","364","351","352","5100","352"
"2017-06-07","355","359","355","359","1000","359"
"2017-06-08","351","351","351","351","600","351"
"2017-06-09","359","359","359","359","300","359"
"2017-06-12","346","361","346","361","3600","361"
"2017-06-13","361","362","361","362","2900","362"
"2017-06-14","350","357","350","357","1200","357"
"2017-06-16","349","357","349","357","700","357"
"2017-06-21","356","356","356","356","100","356"
"2017-06-22","350","350","350","350","200","350"
"2017-06-23","346","346","346","346","500","346"
"2017-06-26","353","353","346","346","1200","346"
"2017-06-27","350","350","346","346","900","346"
"2017-06-29","346","354","346","354","300","354"
"2017-06-30","346","346","346","346","100","346"
"2017-07-03","354","354","354","354","1100","354"
"2017-07-04","355","355","346","346","500","346"
"2017-07-05","343","350","343","348","300","348"
"2017-07-06","352","352","352","352","100","352"
"2017-07-07","352","352","343","351","1000","351"
"2017-07-10","344","345","343","345","600","345"
"2017-07-11","349","353","327","340","8400","340"
"2017-07-12","350","350","348","348","2200","348"
"2017-07-13","348","348","347","347","600","347"
"2017-07-14","342","349","342","349","1200","349"
"2017-07-18","349","354","349","354","500","354"
"2017-07-19","355","355","355","355","700","355"
"2017-07-20","358","358","341","341","3700","341"
"2017-07-21","351","351","344","351","1300","351"
"2017-07-24","354","356","347","347","2500","347"
"2017-07-25","357","357","348","348","1600","348"
"2017-07-26","348","357","348","357","30100","357"
"2017-07-27","357","357","357","357","100","357"
"2017-07-28","354","356","353","355","12200","355"
"2017-07-31","355","355","350","350","1600","350"
"2017-08-01","365","365","355","355","3200","355"
"2017-08-02","355","355","355","355","400","355"
"2017-08-03","355","355","350","350","300","350"
"2017-08-04","356","358","356","358","400","358"
"2017-08-07","352","352","350","350","1800","350"
"2017-08-08","357","357","357","357","100","357"
"2017-08-09","357","357","357","357","100","357"
"2017-08-10","354","354","350","350","3000","350"
"2017-08-14","350","351","348","348","800","348"
"2017-08-15","348","350","348","350","800","350"
"2017-08-18","351","351","351","351","100","351"
"2017-08-21","351","351","351","351","200","351"
"2017-08-22","349","353","349","353","1400","353"
"2017-08-24","358","358","358","358","300","358"
"2017-08-25","350","350","350","350","1800","350"
"2017-08-28","355","356","355","356","300","356"
"2017-08-29","350","350","350","350","500","350"
"2017-08-30","358","359","358","359","300","359"
"2017-08-31","359","360","351","360","800","360"
"2017-09-01","363","363","363","363","100","363"
"2017-09-04","360","360","360","360","300","360"
"2017-09-05","352","359","343","348","13200","348"
"2017-09-06","355","355","352","352","300","352"
"2017-09-07","350","350","345","350","300","350"
"2017-09-08","347","350","347","350","800","350"
"2017-09-11","353","356","350","356","3500","356"
"2017-09-12","356","356","342","352","5300","352"
"2017-09-13","354","355","354","355","1700","355"
"2017-09-14","354","354","354","354","100","354"
"2017-09-15","354","354","350","350","200","350"
"2017-09-19","352","352","350","350","700","350"
"2017-09-20","353","353","349","349","800","349"
"2017-09-21","352","352","350","350","400","350"
"2017-09-25","353","353","353","353","4800","353"
"2017-09-26","351","354","351","354","1100","354"
"2017-09-27","354","354","347","348","1800","348"
"2017-09-28","349","352","349","350","1500","350"
"2017-09-29","349","350","349","350","200","350"
"2017-10-02","350","350","350","350","1000","350"
"2017-10-03","354","354","351","351","700","351"
"2017-10-04","351","351","351","351","400","351"
"2017-10-05","354","354","350","350","3000","350"
"2017-10-06","353","354","353","354","600","354"
"2017-10-10","354","354","351","351","900","351"
"2017-10-11","353","354","347","354","1100","354"
"2017-10-12","354","356","354","356","5000","356"
"2017-10-13","357","363","357","361","8300","361"
"2017-10-16","364","364","355","355","3300","355"
"2017-10-17","360","360","360","360","200","360"
"2017-10-18","362","362","362","362","1200","362"
"2017-10-19","363","363","359","359","600","359"
"2017-10-20","361","363","361","363","700","363"
"2017-10-23","363","365","363","365","8800","365"
"2017-10-24","366","369","366","369","4900","369"
"2017-10-25","365","365","365","365","300","365"
"2017-10-26","364","364","361","361","3300","361"
"2017-10-27","361","361","357","357","1400","357"
"2017-10-30","356","368","356","368","1100","368"
"2017-10-31","368","368","360","360","300","360"
"2017-11-01","360","375","360","375","3600","375"
"2017-11-02","369","370","362","362","1800","362"
"2017-11-06","362","364","358","364","2700","364"
"2017-11-07","364","364","364","364","100","364"
"2017-11-08","358","359","358","359","1700","359"
"2017-11-09","360","361","360","360","800","360"
"2017-11-10","365","381","361","362","5600","362"
"2017-11-13","360","360","360","360","300","360"
"2017-11-15","364","364","361","361","1200","361"
"2017-11-16","360","360","357","357","800","357"
"2017-11-17","361","362","361","362","700","362"
"2017-11-20","351","359","351","359","3900","359"
"2017-11-21","359","364","359","364","1300","364"
"2017-11-22","364","367","364","367","800","367"
"2017-11-24","369","370","362","362","2200","362"
"2017-11-27","362","363","362","363","200","363"
"2017-11-28","362","362","361","361","1700","361"
"2017-11-29","364","364","356","360","11100","360"
"2017-11-30","361","366","361","366","2500","366"
"2017-12-01","367","368","367","368","200","368"
"2017-12-04","367","370","366","370","3900","370"
"2017-12-05","366","380","366","372","3800","372"
"2017-12-06","364","364","364","364","500","364"
"2017-12-07","367","368","362","364","3500","364"
"2017-12-08","364","364","364","364","500","364"
"2017-12-11","374","374","366","366","1700","366"
"2017-12-12","373","373","373","373","400","373"
"2017-12-13","369","372","369","371","900","371"
"2017-12-18","367","371","366","366","1000","366"
"2017-12-19","371","374","371","372","3200","372"
"2017-12-20","371","381","371","381","2600","381"
"2017-12-21","379","380","373","380","2000","380"
"2017-12-22","380","385","378","378","2200","378"
"2017-12-25","381","389","380","384","4500","384"
"2017-12-26","385","395","385","386","3500","386"
"2017-12-27","394","399","391","391","1900","391"
"2017-12-28","407","410","396","396","7300","396"
"2017-12-29","412","416","405","409","10000","409"
