1323 東証ETF (NEXT FUNDS)南アフリカ株式指数上場投信（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","327","330","320","321","14200","321"
"2017-01-05","337","337","321","325","9600","325"
"2017-01-06","325","330","325","330","1500","330"
"2017-01-10","328","332","328","328","1900","328"
"2017-01-11","334","340","334","340","1700","340"
"2017-01-12","340","349","339","340","7200","340"
"2017-01-13","334","337","334","337","400","337"
"2017-01-16","350","350","340","340","3100","340"
"2017-01-17","339","339","334","334","1100","334"
"2017-01-18","334","340","333","340","400","340"
"2017-01-19","332","332","327","329","4500","329"
"2017-01-20","337","337","330","330","700","330"
"2017-01-23","335","335","335","335","300","335"
"2017-01-25","339","339","331","335","800","335"
"2017-01-27","335","338","334","335","1700","335"
"2017-01-30","336","341","336","341","2000","341"
"2017-01-31","342","342","341","341","600","341"
"2017-02-01","337","340","337","340","600","340"
"2017-02-02","343","343","340","340","1000","340"
"2017-02-03","337","337","337","337","400","337"
"2017-02-06","345","345","335","335","1200","335"
"2017-02-08","341","341","335","335","200","335"
"2017-02-09","336","336","336","336","100","336"
"2017-02-10","342","342","340","340","400","340"
"2017-02-13","340","344","336","344","500","344"
"2017-02-14","343","343","342","342","200","342"
"2017-02-15","345","345","339","343","3400","343"
"2017-02-16","343","343","340","340","1700","340"
"2017-02-17","347","347","333","333","1500","333"
"2017-02-20","342","342","334","342","4400","342"
"2017-02-21","342","342","342","342","100","342"
"2017-02-22","342","346","342","346","1000","346"
"2017-02-24","349","349","349","349","1300","349"
"2017-02-27","350","350","341","342","4200","342"
"2017-02-28","353","353","350","350","1100","350"
"2017-03-01","350","351","350","351","300","351"
"2017-03-02","352","352","352","352","200","352"
"2017-03-03","348","348","343","343","400","343"
"2017-03-06","343","367","343","360","10400","360"
"2017-03-07","352","360","344","352","3000","352"
"2017-03-08","344","355","344","354","1800","354"
"2017-03-10","346","351","346","351","400","351"
"2017-03-13","344","351","344","351","600","351"
"2017-03-14","354","354","354","354","100","354"
"2017-03-15","354","354","342","342","2900","342"
"2017-03-16","341","354","340","345","4600","345"
"2017-03-17","341","346","341","343","4100","343"
"2017-03-21","350","350","348","348","2800","348"
"2017-03-22","348","351","348","351","4300","351"
"2017-03-24","343","343","343","343","100","343"
"2017-03-27","344","346","344","346","2200","346"
"2017-03-28","346","349","345","348","3300","348"
"2017-03-29","341","347","340","347","5500","347"
"2017-03-30","341","346","340","346","2800","346"
"2017-03-31","346","346","346","346","500","346"
"2017-04-03","340","340","340","340","300","340"
"2017-04-04","341","341","322","335","1400","335"
"2017-04-05","319","329","310","312","15600","312"
"2017-04-06","320","320","313","316","3900","316"
"2017-04-07","318","319","318","318","1100","318"
"2017-04-10","314","317","314","317","2600","317"
"2017-04-11","316","316","315","315","1000","315"
"2017-04-12","325","325","312","319","3600","319"
"2017-04-13","315","327","315","327","1000","327"
"2017-04-14","328","328","318","322","2000","322"
"2017-04-17","327","327","326","326","600","326"
"2017-04-18","318","327","318","327","2200","327"
"2017-04-19","319","326","319","323","500","323"
"2017-04-20","328","328","327","328","500","328"
"2017-04-21","329","329","329","329","200","329"
"2017-04-24","329","329","329","329","200","329"
"2017-04-25","329","329","321","329","1000","329"
"2017-04-26","336","336","332","334","700","334"
"2017-04-27","336","337","336","337","500","337"
"2017-04-28","333","333","333","333","100","333"
"2017-05-01","335","335","335","335","1100","335"
"2017-05-02","335","335","334","335","8100","335"
"2017-05-08","340","340","335","335","3000","335"
"2017-05-09","341","341","340","340","800","340"
"2017-05-10","338","339","338","339","2100","339"
"2017-05-11","338","338","338","338","900","338"
"2017-05-12","338","341","338","340","1600","340"
"2017-05-15","343","345","343","345","1500","345"
"2017-05-16","345","345","342","342","400","342"
"2017-05-17","342","342","341","341","600","341"
"2017-05-18","336","340","336","340","1700","340"
"2017-05-19","348","348","346","346","1000","346"
"2017-05-22","341","345","340","345","600","345"
"2017-05-24","345","345","345","345","300","345"
"2017-05-25","346","350","346","349","5400","349"
