1323 東証ETF (NEXT FUNDS)南アフリカ株式指数上場投信（ETF）,,,,,
"2016-06-21","300","309","300","309","6000","309"
"2016-06-23","302","302","302","302","100","302"
"2016-06-24","303","328","266","268","17600","268"
"2016-06-27","270","288","270","281","4000","281"
"2016-06-28","291","291","283","287","700","287"
"2016-06-29","293","293","292","292","600","292"
"2016-06-30","292","299","292","299","800","299"
"2016-07-01","283","291","283","291","200","291"
"2016-07-04","300","300","299","299","2500","299"
"2016-07-05","299","299","287","287","1200","287"
"2016-07-06","301","301","299","299","800","299"
"2016-07-07","299","299","287","287","600","287"
"2016-07-08","281","285","281","285","400","285"
"2016-07-11","302","302","302","302","200","302"
"2016-07-12","304","304","303","304","800","304"
"2016-07-14","301","301","298","298","900","298"
"2016-07-15","302","310","302","310","1900","310"
"2016-07-19","302","312","302","312","1800","312"
"2016-07-20","313","313","313","313","100","313"
"2016-07-21","313","313","311","311","400","311"
"2016-07-25","338","338","323","324","17700","324"
"2016-07-26","324","333","324","324","1800","324"
"2016-08-01","306","310","305","310","1400","310"
"2016-08-02","318","318","318","318","100","318"
"2016-08-08","316","322","316","322","800","322"
"2016-08-09","328","328","328","328","100","328"
"2016-08-10","330","330","322","322","2800","322"
"2016-08-12","328","334","328","330","1200","330"
"2016-08-15","335","335","327","334","800","334"
"2016-08-17","323","330","322","323","4000","323"
"2016-08-18","312","322","312","322","1100","322"
"2016-08-23","312","312","312","312","500","312"
"2016-08-24","309","321","309","309","700","309"
"2016-08-25","308","316","308","313","1300","313"
"2016-08-26","310","310","306","306","500","306"
"2016-08-29","314","314","314","314","700","314"
"2016-08-30","306","312","306","312","200","312"
"2016-08-31","320","320","320","320","200","320"
"2016-09-01","312","312","309","309","900","309"
"2016-09-02","317","317","308","314","2400","314"
"2016-09-05","311","313","311","313","300","313"
"2016-09-07","310","311","310","310","2800","310"
"2016-09-08","310","315","310","315","3900","315"
"2016-09-09","312","312","309","309","1300","309"
"2016-09-12","308","308","302","303","4300","303"
"2016-09-13","308","308","308","308","200","308"
"2016-09-14","305","305","300","300","1800","300"
"2016-09-15","302","302","302","302","200","302"
"2016-09-16","309","309","309","309","300","309"
"2016-09-20","311","311","309","309","2200","309"
"2016-09-21","301","301","301","301","200","301"
"2016-09-23","301","301","301","301","200","301"
"2016-09-26","314","314","312","312","400","312"
"2016-09-27","311","311","301","304","600","304"
"2016-09-29","312","312","308","312","700","312"
"2016-10-03","305","305","305","305","500","305"
"2016-10-04","311","311","311","311","500","311"
"2016-10-05","303","311","303","311","400","311"
"2016-10-06","309","309","309","309","500","309"
"2016-10-07","307","307","300","300","1100","300"
"2016-10-11","298","307","298","299","800","299"
"2016-10-12","301","301","300","300","700","300"
"2016-10-13","298","298","298","298","100","298"
"2016-10-17","298","300","295","300","1900","300"
"2016-10-19","299","299","299","299","100","299"
"2016-10-21","300","300","298","298","400","298"
"2016-10-24","305","305","305","305","700","305"
"2016-10-25","305","306","305","305","10200","305"
"2016-10-26","308","308","308","308","100","308"
"2016-10-27","308","308","308","308","100","308"
"2016-10-28","305","305","305","305","100","305"
"2016-10-31","305","305","305","305","200","305"
"2016-11-02","313","313","305","305","400","305"
"2016-11-04","303","303","303","303","700","303"
"2016-11-07","295","297","295","297","800","297"
"2016-11-08","298","298","298","298","300","298"
"2016-11-09","310","310","298","298","2100","298"
"2016-11-10","312","312","303","303","300","303"
"2016-11-11","303","303","303","303","200","303"
"2016-11-14","295","296","286","294","4100","294"
"2016-11-15","293","293","292","293","600","293"
"2016-11-16","289","292","289","292","700","292"
"2016-11-17","294","294","290","290","800","290"
"2016-11-18","294","294","291","291","700","291"
"2016-11-21","295","295","295","295","100","295"
"2016-11-22","297","311","297","306","500","306"
"2016-11-24","306","310","306","310","1000","310"
"2016-11-25","306","306","306","306","400","306"
"2016-11-28","306","306","306","306","600","306"
"2016-11-29","299","306","299","306","1200","306"
"2016-11-30","309","309","309","309","400","309"
"2016-12-01","302","309","302","309","800","309"
"2016-12-02","310","310","307","307","300","307"
"2016-12-05","310","310","305","305","2800","305"
"2016-12-06","305","305","305","305","1100","305"
"2016-12-07","306","310","306","310","200","310"
"2016-12-08","310","310","310","310","100","310"
"2016-12-09","310","310","304","309","1600","309"
"2016-12-12","310","311","310","311","1600","311"
"2016-12-13","312","314","312","314","3800","314"
"2016-12-14","312","316","311","316","2400","316"
"2016-12-15","313","316","312","312","3400","312"
"2016-12-16","315","315","314","315","1100","315"
"2016-12-19","315","316","315","316","1800","316"
"2016-12-21","318","318","313","313","1700","313"
"2016-12-22","313","317","312","312","1200","312"
"2016-12-26","312","312","312","312","600","312"
"2016-12-27","316","316","315","316","1600","316"
"2016-12-28","315","315","315","315","200","315"
"2016-12-29","318","318","310","311","1400","311"
"2016-12-30","319","329","318","325","2900","325"
